Spiller-Id,Navn,All Clubs,Current Club,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
101157,Tajul Islam,Bergen,Bergen,72.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101173,Carl-Otto Falch Burum,Bygdø,Bygdø,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101187,Carl Christian Hem,Sandefjord,Sandefjord,680.0,453.0,696.0,378.0,325.0,113.0,40.0,0.0,90.0,73.0,166.0,37.0
101190,Mari Helene Bøe,Sandefjord|NTNUI,Sandefjord,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101192,Sebastian Bøe,Trondheim|NTNUI|Sandefjord,Sandefjord,90.0,76.0,0.0,37.0,83.0,92.0,36.0,0.0,5.0,8.0,0.0,0.0
101194,Ole Andreas Hansen,Vestre Aker|NTNUI,Vestre Aker,184.0,108.0,150.0,0.0,128.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
101198,Christian Bøe,Sandefjord|Bergen,Bergen,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101203,Marius Sørby,Vestre Aker|Sandefjord,Sandefjord,56.0,12.0,44.0,21.0,7.0,104.0,52.0,36.0,39.0,0.0,32.0,6.0
101218,Sigurd Otto Strøm,Kolvereid,Kolvereid,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101228,Lars Rikheim Huus,Frogner,Frogner,132.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101270,Jonas Christensen,Frogner,Frogner,128.0,164.0,286.0,172.0,0.0,0.0,84.0,316.0,62.0,113.0,12.0,0.0
101273,Sven Åge Birkeland,Djerv,Djerv,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101280,Mats Lervåg,BSI|Bergen,Bergen,184.0,218.0,268.0,188.0,185.0,132.0,44.0,24.0,178.0,160.0,248.0,74.0
101285,Randi Selle,Kristiansand|Stavanger,Stavanger,60.0,20.0,8.0,0.0,2.0,40.0,0.0,0.0,54.0,8.0,1.0,2.0
101297,Arne Martin Hagen,Stavanger,Stavanger,8.0,14.0,30.0,6.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
101299,Anders Aasheim,Sandefjord,Sandefjord,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101308,Marit Lillelien,Vestre Aker|Asker,Asker,1.0,9.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101315,Knut Liland,Kristiansand|Haugerud,Haugerud,4.0,4.0,26.0,5.0,8.0,1.0,2.0,0.0,1.0,6.0,0.0,0.0
101318,Kim Steve Nystad,Båtsfjord,Båtsfjord,20.0,30.0,21.0,4.0,6.0,20.0,8.0,0.0,2.0,0.0,0.0,0.0
101329,Henrik Åsheim,NTNUI,NTNUI,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101347,Thomas Holdbakk,Kristiansand,Kristiansand,98.0,30.0,80.0,70.0,28.0,80.0,56.0,0.0,30.0,128.0,45.0,94.0
101358,Petter Svendsen,Trondheim|NTNUI,Trondheim,300.0,244.0,72.0,102.0,208.0,198.0,120.0,24.0,30.0,154.0,190.0,252.0
101359,Kjetil Muggerud,NTNUI,NTNUI,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101361,Johannes Hindrum,Leksvik,Leksvik,8.0,8.0,44.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101363,Borgar Hindrum,Leksvik,Leksvik,32.0,28.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101367,Morten Oterhals,Bergen,Bergen,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101369,Marius Røed,Vestre Aker|NTNUI,Vestre Aker,32.0,108.0,10.0,115.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101432,Pål Withers,Kristiansand,Kristiansand,392.0,52.0,160.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101438,Are Eidissen,Djerv,Djerv,27.0,2.0,51.0,46.0,70.0,19.0,40.0,8.0,15.0,0.0,0.0,0.0
101440,Svenn Jostein Bergin,Grong,Grong,11.0,10.0,0.0,10.0,7.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0
101472,Eirik Paulsen,Stavanger,Stavanger,400.0,308.0,128.0,216.0,211.0,76.0,0.0,0.0,0.0,0.0,0.0,110.0
101486,Stian Størseth,Kragerø,Kragerø,16.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101487,Helge Eliassen,Kragerø,Kragerø,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101515,Brynjar Arnfinnsson,OSI,OSI,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101531,Torkil Alvheim,Fron|Pillarguri,Fron,24.0,20.0,20.0,4.0,0.0,8.0,0.0,0.0,4.0,0.0,16.0,16.0
101551,Audun Nystuen,Pillarguri,Pillarguri,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101566,Henrik Smittil Høksnes,Sandefjord,Sandefjord,137.0,48.0,16.0,134.0,92.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
101570,Christer Fartum,NTNUI|Haugerud,Haugerud,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101583,Anders Skar,Nøtterøy,Nøtterøy,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0
101587,Arne Bjørn Berger,Trondheim,Trondheim,41.0,12.0,8.0,6.0,4.0,7.0,14.0,7.0,14.0,25.0,17.0,12.0
101608,Martin Haraldsen,NTNUI,NTNUI,24.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101631,Ivar Søgaard,Asker,Asker,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101649,Åsmund Oma,NTNUI,NTNUI,96.0,78.0,42.0,80.0,14.0,18.0,44.0,0.0,11.0,0.0,0.0,0.0
101688,Andre Høidebraaten,Moss,Moss,21.0,0.0,36.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
101720,Kenneth Johansen,Herøy,Herøy,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101726,Bård Hindrum,Leksvik,Leksvik,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
